,Department,CourseID,CourseName,Description,Instructors,TermsOffered,Prerequisites,Equivalent,Terms
10,CCTS,CCTS 21018,Buddhism and Science: A Critical Introduction.  ,"Buddhism is the only religion able to cope with modern scientific needs."" This quotation, often erroneously attributed to Albert Einstein, prompts the question: Why are such statements about Buddhism so easily taken nowadays as credible and plausible? Currently, it seems no other religion is held as compatible with science as Buddhism: From the recent 'mindfulness' craze in psychology and medicine, to the 'Emptiness' of quantum physics, Buddhism is uniquely hailed as a 'rational religion' whose insights anticipated modern science by millennia. Some even suggest it is not a 'religion' at all, but rather a sort of 'mind-science.' This course functions as both an introduction to Buddhism and a critical survey of its modern scientific reception. As we explore Buddhism's relationship to contemporary scientific theories in psychology and physics, we will be guided by questions such as: What methodological principles distinguish the practices of religion and science? What are the different ways they can be brought into relation? Why is Buddhism, in particular, singled out as uniquely scientific? What modern historical factors, like colonialism and secularization, contribute to this contemporary meme? Why does it matter whether Buddhism is compatible with science or not? What, exactly, is at stake in this relationship? And for whom? No prior study of Buddhism or the philosophy of science is expected.",Jesse Berger,Spring,N/A,"RLST 24240, HIPS 24240, KNOW 24240",Spring
11,CCTS,CCTS 21019,Deviance and Medicalization.  ,"Is a school shooter an evil sinner, an ordinary criminal, or mentally ill? Is homosexuality a natural mode of loving and living, an expression of moral weakness, a punishable criminal offense, or a sign of biological or psychological inversion? Is hearing voices a sign of madness to be shunned and locked away from society, or proof of being chosen by the gods? The way in which a society or individual answers these kinds of questions can help us to understand the ways in which that society medicalizes (or demedicalizes) different forms of deviance from hegemonic norms. In this course we will explore various arenas in which forms of deviance have shifted on the spectrum from sin to crime to sickness (and back again) through processes of medicalization and demedicalization. We will explore medicalization in connection with sexual, mental, and moral forms of deviance as well as the medicalization of identity in terms of race, gender, class, disability, and age in order to ask questions such as: How is medical knowledge and authority constituted? How and why do certain behaviors come to be framed as medical problems rather than moral or legal ones? What people, forces, or systems shape the way we view deviant behavior? What is at stake in such processes of (de)medicalization. How do such processes impact the lives of those involved? How has life been increasingly medicalized in the Covid era? No prior study of religion, critical theory, or the history of medicine is expected.",Blaize Gervais,not being offered 2022-23,N/A,"GNSE 26320, HLTH 26320, RLST 26320",None
12,CCTS,CCTS 21020,Magic and Divination in the Islamic World.  ,"From weather forecasts to stock market speculations, our modern world is saturated with predictions for the future. In spite of this, other divinatory methods such as astrology are often portrayed as superstitious, irrational, or unreligious. This course will introduce students to the unexpected interaction of science, magic, and religion through the exploration of divination in the Islamic world. We will ask how divination can be a part of religious practice and how methods of future-telling are said to ""work"" from the perspective of the philosophers and scientists who practiced them. We will also explore the arguments against divination and identify and understand religious and/or scientific objections to the practice. All readings will be in English translation.",Alex Matthews,Winter,N/A,"NEHC 28882, MDVL 28882, HIPS 28882, KNOW 28882, RLST 28882",Winter
13,CCTS,CCTS 21021,"Magic, Miracles, and Medicine: Healthcare in the Bible and the Ancient World.  ","This course examines the complex issues surrounding the body, disability, and medical care in antiquity. It will be guided by a variety of questions, such as what was the root cause of bodily infirmity and disease in antiquity? How did cultural views of sex, gender, and race influence perceptions of the body and what it meant to be able bodied? Such questions are significant when considering what kind of access to healthcare marginalized groups had. In order to explore these questions, we will examine ancient Mediterranean views of medical care through material remains (e.g., magical amulets and healing shrines) and textual evidence (e.g., Galen and Hippocrates). After considering this wider cultural context, we will examine treatments in the Hebrew Bible, New Testament, and early Christianity. We will also explore how Christian concepts of medical care evolved in light of accounts of Jesus as a divine healer. In addition to this ancient evidence, we will engage with modern disability studies and sociological analyses to better orient our readings. At the end of the course, students will be better acquainted with the complex relationship between religion and medicine and how that affects modern healthcare decisions.",Richard Zaleski,Spring,N/A,"HLTH 20223, JWSC 20923, KNOW 20223, HIPS 20223, RLST 20223, HIST 25305",Spring
14,CCTS,CCTS 21022,"Judaism, Medicine, and the Body.  ","For centuries the ""Jewish doctor"" has existed as an archetype, but is there such a thing as Jewish medicine? Does Judaism teach a distinct approach to the body, illness, and healing? And more significantly, why should religion have anything to do with one's health today? In this course we will grapple with our assumptions regarding modern Western medicine by discussing topics in Jewish medical thought and ethics. We will study how Judaism - its texts, history, laws, and traditions - intersect with issues of science, medicine, and the body. In particular we will think about how a Jewish approach to medicine, and more broadly a religious approach, might complicate contemporary assumptions about the body and healing. We will also consider how Jewish bodies have been imagined and stereotyped, and think about how that might affect Jewish approaches to disease and medical ethics. This course will thus offer students a way to think about alternatives to assumptions about medicine, the body, and ethics in the secular West, which will be explored both in class materials and in personal projects. No prior work in Jewish studies, medical ethics, or religious studies necessary.",Ranana Dine,Autumn,N/A,"RLST 26313, JWSC 26313, HLTH 26313, GNSE 26313, KNOW 26313, HIPS 26313",Autumn
15,CCCT,CCCT 28307,Populism in the United States: Past and Present.  ,"This course will explore the long history of populism in the United States, a history that raises fundamental questions about the nature of US politics, law, and society. These include ongoing disputes over the ownership and control of wealth; the rights and duties of individuals to each other as well as to the commonweal; the relationship of citizens to their nation; reigning definitions of justice and the good life; and the currency of racism, jingoism, paranoia, antisemitism, and demagoguery in US democratic politics. Such large subjects will be engaged through an historical investigation, beginning with the War of Independence. The course will finish by examining the putative re-emergence of ""populism"" in recent years, particularly since the financial crisis of 2008, to include global comparisons.",J. Levy and M. Zakim,Autumn,N/A,"LLSO 28307, HIST 28307, HIST 38307",Autumn
16,CCTS,CCTS 33000,Scientists Advancing the Forefront.  ,"In this survey course, leading basic and translational biomedical scientists will review cutting-edge themes that constitute the forefront of medical research. Learners will emerge with a broad understanding of:
•","Erika Claud, Ronald Cohen","Spring
Winter. Students who register in fall and spring will earn 50 credit units in spring.",Course open to MS1 students,"MOLM 33000, MEDC 33000","Spring, Winter"
17,CCTS,CCTS 40006,Pharmacogenomics: Discovery and Implementation.  ,"Pharmacogenomics is aimed at advancing our knowledge of the genetic basis for variable drug response. Advances in genetic knowledge gained through sequencing have been applied to drug response, and identifying heritable genetic variants that predict response and toxicity is an area of great interest to researchers. The ultimate goal is to identify clinically significant variations to predict the right choice and dose of medications for individuals-""personalizing medicine."" The study of pharmacogenomics is complicated by the fact that response and toxicity are multigenic traits and are often confounded by nongenetic factors (e.g., age, co-morbidities, drug-drug interactions, environment, diet). Using knowledge of an individual's DNA sequence as an integral determinant of drug therapy has not yet become standard clinical practice; however, several genetics-guided recommendations for physicians have been developed and are highlighted. The ethics and economics of pharmacogenomics are also discussed.","R. S. Huang, B. Stranger",Spring,Undergraduates (third- and fourth-years only) must have taken BIOS 20187 and are required to email instructors for approval (bstranger@medicine.bsd.uchicago.edu and rhuang@medicine.bsd.uchicago.edu) prior to registering.,CABI 47510,Spring
18,BPRO,BPRO 22700,"Abortion: Morality, Politics, Philosophy.  ","Abortion is a complex and fraught topic. Morally, a very wide range of individual, familial, and social concerns converge upon it. Politically, longstanding controversies have been given new salience and urgency by the Dobbs decision and the ongoing moves by state legislatures to restrict access to abortion. In terms of moral philosophy, deep issues in ethics merge with equally deep questions about the nature of life, action, and the body. In terms of political philosophy, basic questions are raised about the relationship of religious and moral beliefs to the criminal law of a liberal state. We will seek to understand the topic in all of this complexity. Our approach will be thoroughly intra- and inter-disciplinary, drawing not only on our separate areas of philosophical expertise but on the contributions of a series of guest instructors in law, history, and medicine. (A)","Jason Bridges, Dan Brudney",Autumn,PQ: Third or fourth-year standing. Students should opt into a discussion section that fits their schedule.,"HLTH 22700, HIPS 22701, GNSE 22705, PHIL 22702, HMRT 22702",Autumn
19,BPRO,BPRO 22800,Drinking Alcohol: Social Problem or Normal Cultural Practice?  ,"Alcohol is the most widely used psychoactive agent in the world, and, as archaeologists have recently demonstrated, it has a very long history dating back at least 9,000 years. This course will explore the issue of alcohol and drinking from a trans-disciplinary perspective. It will be co-taught by an anthropologist/archaeologist with experience in alcohol research and a neurobiologist who has experience with addiction research. Students will be confronted with literature on alcohol research from anthropology, sociology, history, biology, medicine, psychology, and public health and asked to think through the conflicts and contradictions. Selected case studies will be used to focus the discussion of broader theoretical concepts and competing perspectives introduced in the first part of the course. Topics for lectures and discussion include: fermentation and the chemistry and pharmacology of alcohol; the early history of alcohol; histories of drinking in ancient, medieval, and modern times; alcohol and the political economy; alcohol as a cultural artifact; styles of drinking and intoxication; how is alcohol metabolized; addiction; how does alcohol affect sensations; social problems; alcohol and religion; alcohol and health benefits; comparative case studies of drinking.","M. Dietler, W. Green",Winter,Third or fourth-year standing.,"HLTH 25310, BIOS 02280, ANTH 25310",Winter
20,BPRO,BPRO 22900,People in Motion: Rethinking Transit in Chicago and Beyond.  ,"How do you get from A to B?  Within and between today's urbanized areas, that seemingly simple question has become one of the most fraught and intractable problems. This course seeks to address questions about public transit across scales, from pedestrian and bicycle infrastructure at the level of individual intersections and blocks up to regional train networks and beyond. Like other design studio courses, the class will be project-based, and will ask students to develop a wide understanding of existing systems, but also to learn through creative design projects that expand their sense of what's possible.  After working together to understand many existing transit solutions across different scales, to come to terms with and document Chicago's transit landscape, and to dream speculatively about untested transit possibilities both low- and high-tech, students will focus on building a portfolio of creative suggestions for their respective ""clients"" (e.g., the University of Chicago, the 4th Ward Alderman). Alongside this project work, assigned readings and explorations around Chicago will immerse students in the culture and philosophy of moving people and things, across different moments past, present and future.","E. Carver, L. Joyner",Winter,Third or fourth-year standing,"ENST 22900, ARCH 22909, CHST 22900, CEGU 22900, ARTH 22909",Winter
21,BPRO,BPRO 24050,Understanding Practical Wisdom.  ,"Thinking about the nature of wisdom goes back to the Greek philosophers and the classical religious sages, but the concept of wisdom has changed in many ways over the history of thought. While wisdom has received less scholarly attention in modern times, it has recently re-emerged in popular discourse with a growing recognition of its potential importance for addressing complex issues in many domains. But what is wisdom? It's often used with a meaning more akin to ""smart"" or ""clever."" Is it just vast knowledge? This course will examine the nature of wisdom-how it has been defined in philosophy and psychological science, how its meaning has changed, and what its essential components might be. We will discuss how current philosophical and psychological theories conceptualize wisdom and consider whether, and how, wisdom can be studied scientifically; that is, can wisdom be measured and experimentally manipulated to illuminate its underlying mechanisms and understand its functions? Finally, we will explore how concepts of wisdom can be applied in business, education, medicine, the law, and in the course of our everyday lives. Readings will be drawn from a wide array of disciplines including philosophy, classics, history, psychology, behavioral economics, medicine, and public policy. The course will include lectures by philosophers and psychologists. This course is offered in association with the Chicago Moral Philosophy Project and the Good Life program (the Hyde Park Institute).",A. Henly; H. Nusbaum,Spring,Third- or fourth-year standing.,"PSYC 34060, PSYC 24060, RLST 24055, CHDV 24050",Spring
22,BPRO,BPRO 24193,Water Water Everywhere?  ,"This interdisciplinary course explores aesthetics, environmental racism, and a human rights approach to the Commons to inform our perspective on the politics and aesthetics of water from the local to the global. The course will look at issues of scarcity and abundance through the lenses of art and human rights. The course will incorporate work by artist Iñigo Manglano-Ovalle, who will visit the class.  Students will consider works by other artists including Mel Chin, Allan Kaprow, LaToya Ruby Frazier, and Fazal Sheikh, to understand how art can confront the 21st century's environmental challenges. Readings will include Susan Sontag's Regarding the Pain of Others, and Fred Moten & Stefano Harney's The Undercommons. The course will include visits to site specific installations by artists Iñigo Manglano-Ovalle and Mel Chin, and visits to Chicago-area natural sites such as the Big Marsh and Lake Michigan. This course is an extension of a collaborative project at the Gray Center for Arts and Inquiry with human rights lawyer Susan Gzesh, artist Iñigo Manglano-Ovalle, and curator Abigail Winograd.","S. Gzesh, Staff",September Term,Third- or fourth-year standing,"ENST 24193, HMRT 24193, ARTH 24193, SOSC 21005, CEGU 24193, CHST 24193",None
23,BPRO,BPRO 25800,Are we doomed? Confronting the End of the World.  ,"We may be at a pivotal point in human history, with civilization facing unprecedented threats including nuclear Armageddon, climate change, and pandemics. This class will explore our potential for self-inflicted catastrophe, as well as approaches for mitigating these perils. We will consider this through readings and engagement with a range of speakers focused on various imminent perils, from the perspective of a wide range of disciplinary perspectives, including sociology, philosophy, theology, anthropology, statistics, physics, astrophysics, economics, law, business, and the arts.","D. Holz, J. Evans",Winter,PQ: Third- or fourth-year standing,"ANTH 25800, SOCI 30531, ASTR 21700, SOCI 20531, KNOW 21700",Winter
24,BPRO,BPRO 25900,Digitizing Human Rights.  ,"In an era in which disruptive technologies have hijacked our consciousness and computer code has woven itself into the fabric of our existence, the lines between the virtual and the physical are increasingly blurred, and the nature of human existence itself increasingly uncertain. Digitizing Human Rights invites you to ponder, question, and even reshape the future of the species. We'll consider digital surveillance, data consent, access to tech, online agency, algorithmic bias and the future of artificial intelligence, among other topics. Drawing on cross-disciplinary perspectives, the course aims to illuminate the often misunderstood aspects of the digital age with the goal of creating an annotated digital document to serve as a blueprint for steering humanity towards a more equitable and just -- and perhaps a more secure -- future. Annotations will draw on a broad array of philosophical traditions and contextualize current issues and debates. We will also problematize the document itself to build into our work a consideration of the digital form through which we are thinking and representing claims about humanity, morality, truth, and justice, for example, that are entailed in the project of ""human rights."" The class will meet both in small groups and the larger seminar to refine the provisions and annotations, review progress, and shape the document as a whole.","J. Spruill, N. Briz",Winter,PQ: Third- or fourth-year standing.,"MAAD 25900, HMRT 25900",Winter
25,BPRO,BPRO 26021,Sense & Sensibility & Science @UChicago.  ,"In Sense & Sensibility & Science, you will learn how to better incorporate into your thinking and decision making the problem-solving techniques of science at its best. Many insights and conceptual tools from scientific thinking are of great utility for solving problems in your own day-to-day life and in a democracy. Yet, as individuals, as groups, as whole societies we fail to take full advantage of these methods. The focus in this course is on the errors humans tend to make, and the approaches scientific methodology has developed (and continues to develop) to minimize those errors. The course includes a discussion of the nature of science, what makes science such an effective way of knowing, how both non-scientific thinking and scientific thinking can go awry, and how we can reason more clearly and successfully as individuals, as members of groups, and as citizens of a democracy.
The undergraduate course will be simultaneously taught at UC Berkeley, Harvard and UChicago in spring 2024, with an opportunity for students from all three courses to participate remotely in the same deliberative polling capstone experience. UChicago's spring 2024 course premiere builds on a decade of experience developing and teaching the popular course at Berkeley and Harvard's adoption of its own version in 2021.",N/A,N/A,N/A,"DIGS 26021, PBPL 26021, HIPS 26021, SOSC 26021",None
26,BPRO,BPRO 27155,Urban Design with Nature.  ,"This course will use the Chicago region as the setting to evaluate the social, environmental, and economic effects of alternative forms of human settlement. Students will examine the history, theory and practice of designing cities in sustainable ways - i.e., human settlements that are socially just, economically viable, and environmentally sound. Students will explore the literature on sustainable urban design from a variety of perspectives, and then focus on how sustainability theories play out in the Chicago region. How can Chicago's neighborhoods be designed to promote environmental, social, and economic sustainability goals? This course is part of the College Course Cluster program: Urban Design.",Sabina Shaikh and Emily Talen,Autumn,N/A,"CHST 27155, ENST 27155, PBPL 27156, CEGU 27155, GISC 27155",Autumn
27,BPRO,BPRO 28300,Disability and Design.  ,"Disability is often an afterthought, an unexpected tragedy to be mitigated, accommodated, or overcome. In cultural, political, and educational spheres, disabilities are non-normative, marginal, even invisible. This runs counter to many of our lived experiences of difference where, in fact, disabilities of all kinds are the ""new normal."" In this interdisciplinary course, we center both the category and experience of disability. Moreover, we consider the stakes of explicitly designing for different kinds of bodies and minds. Rather than approaching disability as a problem to be accommodated, we consider the affordances that disability offers for design.
This course begins by situating us in the growing discipline of Disability Studies and the activist (and intersectional) Disability Justice movement. We then move to four two-week units in specific areas where disability meets design: architecture, infrastructure, and public space; education and the classroom; economics, employment, and public policy; and aesthetics. Traversing from architecture to art, and from education to economic policy, this course asks how we can design for access.","M. Friedner, J. Iverson",Winter,Third or fourth-year standing,"MAAD 28300, HLTH 28301, CHDV 38301, CHDV 28301, MUSI 35719, MUSI 25719",Winter
28,BPRO,BPRO 28800,From Fossils to Fermi's Paradox: Origin and Evolution of Intelligent Life.  ,"The course approaches Fermi's question, ""Are we alone in the universe?,"" in the light of recent evidence primarily from three fields: the history and evolution of life on Earth (paleontology), the meaning and evolution of complex signaling and intelligence (cognitive science), and the distribution, composition and conditions on planets and exoplanets (astronomy). We also review the history and parameters governing extrasolar detection and signaling. The aim of the course is to assess the interplay between convergence and contingency in evolution, the selective advantage of intelligence, and the existence and nature of life elsewhere in the universe - in order to better understand the meaning of human existence.",P. Sereno; L. Rogers; S. London,Winter,"PQ: Third or fourth-year standing. This course does not meet the requirements of the Biological Sciences major. Prerequisite(s) for BIOS 13142 only: BIOS 10130 or BIOS 10140. For BIOS 13142: NO BIOLOGICAL SCIENCES MAJORS OR NON-BIOLOGY PRE-MED STUDENTS, except by petition.","ASTR 18700, BIOS 13142, PSYC 28810",Winter
29,BPRO,BPRO 29520,Sustainability and Computing.  ,"Once a darling of the economy, the computing industry has come under fire as ""techlash"" brings a spotlight to its negative environmental and societal impacts. We focus on understanding computing's environmental impact, and the productive and substantial (not greenwashing) actions that can be taken to reduce it. The objective of this course is to expose students to a sophisticated view of how computing affects the environment, and how it can become more sustainable through action in several dimensions, including technology invention and design, business/ecosystem structure, individual and government action. Students will be empowered with the intellectual tools to understand and act with insight on these issues in their professional careers.",N/A,N/A,Students must be in their third or fourth year of study.,"CEGU 29520, ENST 29520, CMSC 29520, CMSC 39520",None
30,YDDH,YDDH 10100,Elementary Yiddish I.  ,"The goal of this sequence is to develop proficiency in Yiddish reading, writing, listening, and speaking skills. Touchstones of global Yiddish culture are also introduced through song, film, and contemporary Yiddish websites.",Jessica Kirzane,Autumn,N/A,JWSC 20300,Autumn
31,YDDH,YDDH 10200,Elementary Yiddish for Beginners II.  ,"In this course, students will extend basic Yiddish speaking, listening, reading, and writing skills. By the end of the course, students should have a basic understanding of regional Yiddish variations in pronunciation and spelling, be able to understand and participate in a conversation in an increasingly comfortable and complex way, read simple texts with ease, have experience tackling more complex texts with the aid of a dictionary, and write short compositions with grammatical complexity. In the course of language study, students will also be exposed to key topics in the history of the Yiddish language and culture.",Jessica Kirzane,Winter,YDDH 10100,"JWSC 20400, YDDH 37400",Winter
32,YDDH,YDDH 10300,Elementary Yiddish III.  ,"In this course, students will acquire intermediate Yiddish speaking, listening, reading, and writing skills.   By the end of the course, students should be able to conduct a conversation on a wide range of topics, be comfortable tackling complex texts with the aid of a dictionary, and write short compositions with grammatical complexity.  In the course of language study, students will also be exposed to key topics in the history of the Yiddish language and culture.  Students will also be introduced to basic Yiddish research skills.",N/A,N/A,N/A,"YDDH 37500, JWSC 20500",None
